Company Name,Website Link,update_link,scrape,comments
PREFA SARL,http:\/\/www.prefa-immobilier.ci\/contact.php,,0,no listings on website
PREMIUM IMMOBILIER,http:\/\/www.premium-immo.net,,0,innacessible
RIMPLUS (ROYAL IMMOBILIER PLUS),http:\/\/royal-immobilier.info\/,,0,non existant site
ROOF,https:\/\/roof.ci\/,https://roof.ci/acheter-une-maison-a-ab/,1,
SAHCO GROUP,https:\/\/annonce-publicite.blogspot.com,,0,innacessible
SATISFECIT,http:\/\/satisfecit.immo,https://satisfecit.immo/ventes.php,1,
SCI DIAMONDS,http:\/\/www.diamonds.ci,,0,404 error
SIG GROUP,http:\/\/siggroup-ci.com,,0,innacessible
SINI PROPERTY,https:\/\/www.siniproperty.com\/,https://www.siniproperty.com//ventes,1,
SOCIETE IMMOBILIERE & D'INVESTISSEMENT SAGA INTERNATIONALE,https:\/\/soii-si.com\/,,0,innacessible
SOGICI (SOCIETE DE GESTION IMMOBILIERE DE COTE D'IVOIRE ),http:\/\/alouerici.com\/,,0,no listings on website
SOMOPLUS,https:\/\/www.somoplus.net\/,,0,innacessible
THABOR IMMOBILIER,http:\/\/www.thabor-immobilier.fr,,0,no listings on website
TOP IMMO-DESIGN,http:\/\/www.topimmo-design.ci,,0,no listings on website
TWINS IMMOBILIER,http:\/\/www.twins-immobilier.com,https://twins-immobilier.com/biens-immobiliers-a-vendre/,1,
VIMMOBILIER,http:\/\/vimmobilier.org\/index.php\/fr,,0,no listings on website
YAPGI IMMOBILIER,http:\/\/www.yapgi-immobilier.com,,0,no listings on website
YIRIMA IMMOBILIER,http:\/\/www.yirimaimmobilier.com,,0,innacessible
YSYS,http:\/\/www.ysys.global,,0,innacessible
